Time,Head Temperature Set-Point (C),Head Control Temperature (C),Head Limit Temperature (C),Coolant Inlet Temperature (C),Coolant Outlet Temperature (C),Back End Temperature (C),Ambient Temperature (C),PCB Temperature (C),Coolant Flow Rate (L/min),x-Axis Vibration Magnitude (g),y-Axis Vibration Magnitude (g),z-Axis Vibration Magnitude (g),Power (W),Voltage (V),Current (A),Frequency (Hz),Phase Angle (),Energy Generated (kWh),Engine Running,Engine Demand,Heat Source Enabled,Heat Source Running,Automatic Reset Flag,User Reset Flag,Service Reset Flag,Integrity Check Signal,Control State,Active Error Code,Automatic Reset Time (s),Fan Set-Point (rpm),Fan Speed (rpm),Fan Drive (%),ECU Software ID,VI Protection Software ID,Device Operating Time (h),Engine Running Time (h),Engine Starts,Engine Stops,Average Site Voltage (V),Average Running Voltage (V),External Modulation Signal (%),Heat Input Rate (s),Checksum Fail Count,Packet Count,Comments
19/04/2023  13:10:59,550.0,177.4,179.1,32.7,29.8,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,246.6,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,16,
19/04/2023  13:11:04,550.0,177.4,179.2,32.3,29.5,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,246.4,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,25,
19/04/2023  13:11:09,550.0,177.4,178.9,32.5,29.7,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,246.0,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,33,
19/04/2023  13:11:14,550.0,177.5,179.4,32.3,29.7,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,246.0,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,42,
19/04/2023  13:11:19,550.0,177.8,178.1,32.2,29.5,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,245.6,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,50,
19/04/2023  13:11:24,550.0,177.1,179.6,32.3,29.5,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,245.6,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,58,
19/04/2023  13:11:29,550.0,177.5,179.5,32.5,29.5,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,246.0,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,67,
19/04/2023  13:11:34,550.0,178.4,179.1,32.5,29.5,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,246.5,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,75,
19/04/2023  13:11:39,550.0,178.5,179.2,32.5,29.3,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,245.7,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,83,
19/04/2023  13:11:44,550.0,176.6,180.4,32.4,29.2,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,245.6,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,92,
19/04/2023  13:11:49,550.0,178.2,179.5,32.1,28.8,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,245.5,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,396.9,0.8,7,0,245.93,230.41,24.7,0.0,1,100,
19/04/2023  13:11:54,550.0,178.4,180.0,32.2,28.8,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,246.5,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,108,
19/04/2023  13:11:59,550.0,177.9,180.4,32.5,28.9,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,245.3,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,117,
19/04/2023  13:12:04,550.0,178.8,180.1,32.5,28.9,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,245.4,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,125,
19/04/2023  13:12:09,550.0,178.0,180.6,32.5,28.8,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,246.1,0.0,60.0,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,133,
19/04/2023  13:12:14,550.0,177.4,180.6,32.7,28.8,24.0,30.2,34.9,7.9,0.0,0.0,0.0,0,246.9,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,142,
19/04/2023  13:12:19,550.0,178.9,180.4,32.8,28.8,24.0,30.2,34.9,7.8,0.0,0.0,0.0,0,246.1,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,150,
19/04/2023  13:12:24,550.0,178.9,180.6,32.5,28.6,24.0,30.2,34.9,7.7,0.0,0.0,0.0,0,245.9,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,158,
19/04/2023  13:12:29,550.0,178.0,182.4,32.5,28.6,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,246.6,0.0,60.01,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,167,
19/04/2023  13:12:34,550.0,178.6,181.8,32.7,28.6,24.0,30.1,34.9,7.8,0.0,0.0,0.0,0,245.5,0.0,60.02,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,175,
19/04/2023  13:12:39,550.0,179.5,181.8,32.1,28.6,24.0,30.1,34.9,7.9,0.0,0.0,0.0,0,246.9,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,184,
19/04/2023  13:12:44,550.0,179.4,181.5,32.5,28.8,24.0,30.1,34.9,7.9,0.0,0.0,0.0,0,245.9,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,192,
19/04/2023  13:12:49,550.0,179.1,181.4,32.5,28.6,24.0,30.1,34.9,7.9,0.0,0.0,0.0,0,246.0,0.0,60.03,0.0,0.08,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0,1.0.1254,1.0.2905,397.0,0.8,7,0,245.93,230.41,24.7,0.0,1,200,
