"Model #","Serial #","Date","Time","Data","Units","Scale","F","I","V","D","M","T"
44,27202,04/24/2023,12:35:00,103,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,12:40:00,99.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,12:45:00,81.52,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,12:50:00,100.2,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,12:55:00,140.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:00:00,173,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:05:00,159,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:10:00,173.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:15:00,193.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:20:00,198,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:25:00,194,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:30:00,216.2,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:35:00,307.2,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:40:00,425,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:45:00,445,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:50:00,1020,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,13:55:00,911,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:00:00,560.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:05:00,388.4,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:10:00,339.2,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:15:00,407.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:20:00,457.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:25:00,402,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:30:00,330,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:35:00,369,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:40:00,429,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:45:00,381,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:50:00,302,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,14:55:00,304.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:00:00,447,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:05:00,474,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:10:00,414,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:15:00,477,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:20:00,483,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:25:00,346,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:30:00,397.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:35:00,371,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:40:00,364.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:45:00,357,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:50:00,409,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,15:55:00,348.4,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:00:00,293,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:05:00,354,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:10:00,340,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:15:00,284,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:20:00,338.4,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:25:00,435,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:30:00,425,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:35:00,728,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:40:00,485.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:45:00,536,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:50:00,477,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,16:55:00,294,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,17:00:00,296,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2023,17:05:00,274,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,16:50:00,298.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,16:55:00,438.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:00:00,710.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:05:00,261,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:10:00,200,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:15:00,158.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:20:00,128.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:25:00,165.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:30:00,175,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:35:00,176,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:40:00,189,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:45:00,192,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:50:00,200,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,17:55:00,203,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:00:00,311,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:05:00,210,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:10:00,161.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:15:00,119.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:20:00,81.5,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:25:00,85.22,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:30:00,80.73,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:35:00,72.6,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:40:00,73.4,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:45:00,65.6,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:50:00,54.5,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,18:55:00,70.21,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:00:00,72.6,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:05:00,115.3,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:10:00,50.1,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:15:00,27.7,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:20:00,13.4,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:25:00,9.06,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:30:00,7.662,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:35:00,5.201,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:40:00,3.964,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:45:00,1.67,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:50:00,0.804,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,19:55:00,-0.644,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:00:00,-1.66,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:05:00,-1.62,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:10:00,-0.9743,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:15:00,0.7771,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:20:00,-1.75,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:25:00,-1.8,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:30:00,-0.727,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:35:00,-1.09,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:40:00,-0.806,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:45:00,-1.94,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:50:00,-1.37,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,20:55:00,-0.965,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,21:00:00,-1.79,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,21:05:00,-1.33,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,21:10:00,-1.52,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,21:15:00,-1.92,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,21:20:00,-1.471,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,21:25:00,-1.17,"W/m² ",1.00," "," "," "," "," "," "
44,27202,04/24/2020,21:30:00,-1.39,"W/m² ",1.00," "," "," "," "," "," "
