Device: DAQ 2
Serial Number: 2109C4B
Channel Count: 8
Sample Count: 6392
Start Time: 7/5/2023 3:32:31 PM
Scan Rate: 1
Sample,Date/Time,TC26 (°C),TC32 (°C),TC29 (°C),TC35 (°C),TC44 (°C),TC34 (°C),TC42 (°C),TC33 (°C)
0,7/5/2023 3:32:31 PM,314.575,551.273,161.412,488.847,614.264,386.044,607.861,67.680
1,7/5/2023 3:32:32 PM,314.561,551.301,161.323,488.812,614.110,386.722,607.300,67.379
2,7/5/2023 3:32:33 PM,314.575,551.357,161.219,488.660,613.913,387.161,606.459,67.379
3,7/5/2023 3:32:34 PM,314.524,551.391,161.299,488.641,613.661,388.164,605.927,67.350
4,7/5/2023 3:32:35 PM,314.561,551.385,161.263,488.354,613.100,388.574,604.441,67.365
5,7/5/2023 3:32:36 PM,314.512,551.253,161.227,488.082,612.132,388.123,603.558,67.365
6,7/5/2023 3:32:37 PM,314.411,551.225,160.974,487.790,611.655,387.359,601.862,67.408
7,7/5/2023 3:32:38 PM,314.440,551.295,160.692,487.621,610.777,386.998,600.355,67.256
8,7/5/2023 3:32:39 PM,314.520,551.359,160.701,487.250,610.399,386.418,599.641,67.299
9,7/5/2023 3:32:40 PM,314.477,551.498,160.790,486.679,609.066,386.234,597.021,67.572
10,7/5/2023 3:32:41 PM,314.548,551.512,160.938,486.172,606.815,385.901,595.081,67.965
11,7/5/2023 3:32:42 PM,314.663,551.582,161.042,485.753,605.526,384.882,590.825,68.079
12,7/5/2023 3:32:43 PM,314.656,551.856,161.318,485.515,601.848,384.424,588.593,68.302
13,7/5/2023 3:32:44 PM,314.607,551.892,161.490,485.606,600.068,383.419,584.716,68.718
14,7/5/2023 3:32:45 PM,314.614,551.660,161.452,485.501,596.931,382.967,581.485,68.718
15,7/5/2023 3:32:46 PM,314.542,551.744,161.556,485.340,595.370,382.138,579.912,69.084
16,7/5/2023 3:32:47 PM,314.671,551.674,161.526,484.728,592.500,381.276,576.471,69.184
17,7/5/2023 3:32:48 PM,314.542,551.786,161.601,484.193,589.722,380.688,574.689,69.335
18,7/5/2023 3:32:49 PM,314.585,551.800,161.630,483.245,588.336,379.585,571.319,69.593
19,7/5/2023 3:32:50 PM,314.556,551.744,161.853,482.165,585.551,378.976,567.922,69.693
20,7/5/2023 3:32:51 PM,314.548,551.834,161.934,481.651,584.208,377.149,566.300,69.908
21,7/5/2023 3:32:52 PM,314.606,551.764,161.993,480.438,581.572,376.080,562.464,70.074
22,7/5/2023 3:32:53 PM,314.597,551.672,162.015,479.768,578.850,374.048,560.485,70.023
23,7/5/2023 3:32:54 PM,314.497,551.560,162.148,478.354,577.465,372.375,556.446,69.851
24,7/5/2023 3:32:55 PM,314.540,551.421,162.044,476.994,574.654,371.681,552.881,69.751
25,7/5/2023 3:32:56 PM,314.526,551.491,162.044,476.225,573.354,370.207,551.288,69.507
26,7/5/2023 3:32:57 PM,314.518,551.357,161.932,474.999,570.809,369.568,548.199,69.421
27,7/5/2023 3:32:58 PM,314.610,551.307,162.042,474.414,568.530,368.079,546.941,69.292
28,7/5/2023 3:32:59 PM,314.509,551.153,161.909,473.222,567.398,366.775,544.314,69.121
29,7/5/2023 3:33:00 PM,314.495,551.013,161.819,472.625,565.097,366.298,541.971,69.026
