Device: DAQ 3
Serial Number: 2109C4C
Channel Count: 8
Sample Count: 812
Start Time: 7/6/2023 9:27:36.9 AM
Scan Rate: 2
Sample,Date/Time,TC24 (°C),TC27 (°C),TC19 (°C),TC20 (°C),TC45 (°C),TC43 (°C),TC31 (°C),TC25 (°C)
0,7/6/2023 9:27:36.9 AM,-9999.000,33.429,34.778,49.969,54.404,47.486,34.230,34.237
1,7/6/2023 9:27:37.4 AM,-9999.000,33.458,34.881,49.955,54.404,47.543,34.245,34.222
2,7/6/2023 9:27:37.9 AM,-9999.000,33.590,34.866,49.897,54.533,47.558,34.333,34.222
3,7/6/2023 9:27:38.4 AM,-9999.000,33.385,34.866,49.911,54.548,47.558,34.245,34.280
4,7/6/2023 9:27:38.9 AM,-9999.000,33.449,34.887,49.918,54.585,47.696,34.239,34.245
5,7/6/2023 9:27:39.4 AM,-9999.000,33.449,34.843,49.918,54.585,47.610,34.239,34.259
6,7/6/2023 9:27:39.9 AM,-9999.000,33.456,34.995,50.011,54.729,47.769,34.268,34.230
7,7/6/2023 9:27:40.4 AM,-9999.000,33.485,34.893,50.054,54.772,47.841,34.253,34.230
8,7/6/2023 9:27:40.9 AM,-9999.000,33.456,34.893,49.924,54.872,47.841,34.239,34.259
9,7/6/2023 9:27:41.4 AM,-9999.000,33.588,34.820,49.967,55.002,47.855,34.239,34.245
10,7/6/2023 9:27:41.9 AM,-9999.000,33.594,34.987,49.973,54.996,47.994,34.247,34.195
11,7/6/2023 9:27:42.4 AM,-9999.000,33.447,34.870,49.901,54.996,47.965,34.218,34.224
12,7/6/2023 9:27:42.9 AM,-9999.000,33.470,34.864,50.054,55.177,48.031,34.168,34.218
13,7/6/2023 9:27:43.4 AM,-9999.000,33.412,34.791,49.982,55.206,48.031,34.124,34.291
14,7/6/2023 9:27:43.9 AM,-9999.000,33.521,34.870,50.017,55.335,48.060,34.124,34.203
15,7/6/2023 9:27:44.4 AM,-9999.000,33.521,34.870,50.017,55.335,48.118,34.285,34.276
16,7/6/2023 9:27:44.9 AM,-9999.000,33.498,34.891,49.907,55.378,48.219,34.285,34.276
17,7/6/2023 9:27:45.4 AM,-9999.000,33.512,34.891,50.052,55.436,48.219,34.197,34.203
18,7/6/2023 9:27:45.9 AM,-9999.000,33.535,34.914,50.002,55.458,48.213,34.264,34.211
19,7/6/2023 9:27:46.4 AM,-9999.000,33.477,34.958,49.916,55.545,48.314,34.264,34.270
20,7/6/2023 9:27:46.9 AM,-9999.000,33.483,34.906,49.922,55.538,48.365,34.140,34.264
21,7/6/2023 9:27:47.4 AM,-9999.000,33.498,34.862,50.037,55.625,48.409,34.214,34.264
22,7/6/2023 9:27:47.9 AM,-9999.000,33.496,34.874,49.949,55.769,48.438,34.199,34.249
23,7/6/2023 9:27:48.4 AM,-9999.000,33.496,34.845,49.978,55.841,48.438,34.272,34.220
24,7/6/2023 9:27:48.9 AM,-9999.000,33.502,34.881,49.941,55.941,48.481,34.272,34.220
25,7/6/2023 9:27:49.4 AM,-9999.000,33.531,34.895,49.941,55.941,48.524,34.228,34.293
26,7/6/2023 9:27:49.9 AM,-9999.000,33.581,34.975,50.033,55.970,48.625,34.287,34.293
27,7/6/2023 9:27:50.4 AM,-9999.000,33.567,34.975,49.918,55.956,48.625,34.257,34.264
28,7/6/2023 9:27:50.9 AM,-9999.000,33.611,34.902,49.990,56.122,48.561,34.251,34.257
29,7/6/2023 9:27:51.4 AM,-9999.000,33.611,34.960,50.062,56.165,48.677,34.222,34.126
30,7/6/2023 9:27:51.9 AM,-9999.000,33.552,34.975,50.062,56.165,48.706,34.251,34.213
31,7/6/2023 9:27:52.4 AM,-9999.000,33.538,34.975,50.048,56.237,48.778,34.207,34.213
32,7/6/2023 9:27:52.9 AM,-9999.000,33.485,34.981,49.910,56.395,48.778,34.222,34.257
33,7/6/2023 9:27:53.4 AM,-9999.000,33.485,35.010,49.967,56.453,48.850,34.222,34.184
34,7/6/2023 9:27:53.9 AM,-9999.000,33.485,34.879,49.967,56.461,48.830,34.172,34.207
35,7/6/2023 9:27:54.4 AM,-9999.000,33.588,34.952,49.982,56.461,48.974,34.303,34.236
36,7/6/2023 9:27:54.9 AM,-9999.000,33.602,34.937,49.982,56.576,48.931,34.289,34.236
37,7/6/2023 9:27:55.4 AM,-9999.000,33.544,34.937,49.953,56.662,48.931,34.157,34.119
38,7/6/2023 9:27:55.9 AM,-9999.000,33.630,35.067,50.066,56.662,48.989,34.157,34.251
39,7/6/2023 9:27:56.4 AM,-9999.000,33.630,35.096,50.066,56.662,49.061,34.172,34.236
40,7/6/2023 9:27:56.9 AM,-9999.000,33.630,34.921,50.052,56.771,49.098,34.180,34.186
41,7/6/2023 9:27:57.4 AM,-9999.000,33.513,35.008,49.922,56.929,49.112,34.121,34.186
42,7/6/2023 9:27:57.9 AM,-9999.000,33.571,35.008,49.951,56.981,49.106,34.291,34.238
43,7/6/2023 9:27:58.4 AM,-9999.000,33.571,35.023,50.052,57.053,49.207,34.291,34.194
44,7/6/2023 9:27:58.9 AM,-9999.000,33.571,35.008,50.052,57.053,49.236,34.203,34.253
45,7/6/2023 9:27:59.4 AM,-9999.000,33.586,35.111,50.038,57.038,49.265,34.144,34.253
46,7/6/2023 9:27:59.9 AM,-9999.000,33.586,35.008,50.066,57.104,49.288,34.197,34.144
47,7/6/2023 9:28:00.4 AM,-9999.000,33.571,35.008,49.951,57.176,49.288,34.255,34.247
48,7/6/2023 9:28:00.9 AM,-9999.000,33.636,34.971,49.943,57.219,49.360,34.255,34.276
49,7/6/2023 9:28:01.4 AM,-9999.000,33.636,34.956,49.943,57.219,49.403,34.211,34.203
50,7/6/2023 9:28:01.9 AM,-9999.000,33.584,35.021,50.007,57.276,49.461,34.197,34.203
51,7/6/2023 9:28:02.4 AM,-9999.000,33.584,34.948,49.992,57.406,49.562,34.197,34.247
52,7/6/2023 9:28:02.9 AM,-9999.000,33.634,34.954,50.013,57.500,49.556,34.234,34.299
53,7/6/2023 9:28:03.4 AM,-9999.000,33.634,35.027,49.955,57.543,49.570,34.234,34.196
54,7/6/2023 9:28:03.9 AM,-9999.000,33.582,35.136,49.961,57.550,49.562,34.211,34.217
55,7/6/2023 9:28:04.4 AM,-9999.000,33.508,35.033,50.005,57.607,49.649,34.197,34.217
56,7/6/2023 9:28:04.9 AM,-9999.000,33.676,35.040,50.040,57.615,49.643,34.088,34.240
57,7/6/2023 9:28:05.4 AM,-9999.000,33.661,35.069,50.083,57.860,49.628,34.088,34.167
58,7/6/2023 9:28:05.9 AM,-9999.000,33.655,35.033,50.062,57.730,49.729,34.176,34.153
59,7/6/2023 9:28:06.4 AM,-9999.000,33.567,35.019,50.062,57.730,49.715,34.190,34.270
60,7/6/2023 9:28:06.9 AM,-9999.000,33.640,35.004,50.106,57.895,49.851,34.197,34.276
61,7/6/2023 9:28:07.4 AM,-9999.000,33.684,35.004,50.019,57.966,49.851,34.255,34.217
62,7/6/2023 9:28:07.9 AM,-9999.000,33.605,35.086,49.999,58.073,49.756,34.261,34.194
63,7/6/2023 9:28:08.4 AM,-9999.000,33.605,35.071,50.013,58.102,49.987,34.218,34.282
64,7/6/2023 9:28:08.9 AM,-9999.000,33.575,34.998,50.013,58.102,49.973,34.203,34.253
65,7/6/2023 9:28:09.4 AM,-9999.000,33.678,35.013,50.013,58.102,49.929,34.247,34.253
66,7/6/2023 9:28:09.9 AM,-9999.000,33.657,35.006,49.920,58.223,49.936,34.282,34.215
67,7/6/2023 9:28:10.4 AM,-9999.000,33.628,35.035,50.036,58.295,49.979,34.282,34.157
68,7/6/2023 9:28:10.9 AM,-9999.000,33.628,35.065,49.906,58.301,50.086,34.245,34.236
69,7/6/2023 9:28:11.4 AM,-9999.000,33.642,35.050,49.906,58.359,50.043,34.172,34.266
70,7/6/2023 9:28:11.9 AM,-9999.000,33.592,35.015,49.899,58.365,50.121,34.251,34.272
71,7/6/2023 9:28:12.4 AM,-9999.000,33.680,35.015,49.986,58.537,50.121,34.163,34.316
72,7/6/2023 9:28:12.9 AM,-9999.000,33.644,35.023,49.965,58.500,50.156,34.170,34.249
73,7/6/2023 9:28:13.4 AM,-9999.000,33.644,35.096,49.965,58.500,50.099,34.155,34.264
74,7/6/2023 9:28:13.9 AM,-9999.000,33.579,35.031,50.003,58.679,50.249,34.191,34.270
75,7/6/2023 9:28:14.4 AM,-9999.000,33.697,35.017,49.916,58.664,50.394,34.220,34.226
76,7/6/2023 9:28:14.9 AM,-9999.000,33.646,35.010,49.967,58.786,50.400,34.241,34.335
77,7/6/2023 9:28:15.4 AM,-9999.000,33.632,34.996,49.924,58.829,50.328,34.241,34.335
78,7/6/2023 9:28:15.9 AM,-9999.000,33.632,35.025,49.924,58.835,50.449,34.335,34.312
79,7/6/2023 9:28:16.4 AM,-9999.000,33.617,35.010,49.910,58.950,50.493,34.335,34.312
80,7/6/2023 9:28:16.9 AM,-9999.000,33.632,35.054,49.895,58.985,50.513,34.312,34.347
81,7/6/2023 9:28:17.4 AM,-9999.000,33.617,35.054,49.866,59.057,50.513,34.312,34.230
82,7/6/2023 9:28:17.9 AM,-9999.000,33.617,34.966,50.011,59.235,50.592,34.318,34.222
83,7/6/2023 9:28:18.4 AM,-9999.000,33.617,35.040,50.011,59.235,50.548,34.245,34.266
84,7/6/2023 9:28:18.9 AM,-9999.000,33.719,35.010,49.881,59.149,50.598,34.251,34.272
85,7/6/2023 9:28:19.4 AM,-9999.000,33.648,34.998,49.926,59.184,50.598,34.222,34.301
86,7/6/2023 9:28:19.9 AM,-9999.000,33.722,35.100,49.854,59.399,50.612,34.222,34.322
87,7/6/2023 9:28:20.4 AM,-9999.000,33.715,35.021,49.949,59.449,50.705,34.287,34.352
88,7/6/2023 9:28:20.9 AM,-9999.000,33.598,35.050,49.949,59.449,50.734,34.258,34.366
89,7/6/2023 9:28:21.4 AM,-9999.000,33.621,35.029,49.827,59.613,50.740,34.293,34.372
90,7/6/2023 9:28:21.9 AM,-9999.000,33.606,35.029,49.899,59.584,50.740,34.235,34.226
91,7/6/2023 9:28:22.4 AM,-9999.000,33.600,35.066,49.893,59.699,50.798,34.235,34.343
92,7/6/2023 9:28:22.9 AM,-9999.000,33.600,34.979,49.907,59.670,50.870,34.235,34.431
93,7/6/2023 9:28:23.4 AM,-9999.000,33.673,35.008,49.907,59.676,50.876,34.329,34.364
94,7/6/2023 9:28:23.9 AM,-9999.000,33.703,34.993,49.893,59.820,50.963,34.299,34.364
95,7/6/2023 9:28:24.4 AM,-9999.000,33.682,34.987,49.887,59.949,50.963,34.270,34.335
96,7/6/2023 9:28:24.9 AM,-9999.000,33.623,35.002,49.916,59.820,50.920,34.270,34.320
97,7/6/2023 9:28:25.4 AM,-9999.000,33.617,35.770,49.881,60.013,51.041,34.306,34.341
98,7/6/2023 9:28:25.9 AM,-9999.000,33.617,35.039,49.881,60.013,51.113,34.276,34.341
99,7/6/2023 9:28:26.4 AM,-9999.000,33.698,35.048,49.874,60.156,51.099,34.364,34.341
100,7/6/2023 9:28:26.9 AM,-9999.000,33.611,35.048,49.845,60.443,51.099,34.393,34.297
101,7/6/2023 9:28:27.4 AM,-9999.000,33.575,34.997,49.839,60.788,51.243,34.393,34.341
102,7/6/2023 9:28:27.9 AM,-9999.000,33.575,34.968,49.897,60.788,51.344,34.350,34.312
103,7/6/2023 9:28:28.4 AM,-9999.000,33.510,35.006,49.891,61.210,51.653,34.400,34.318
104,7/6/2023 9:28:28.9 AM,-9999.000,33.598,35.035,49.862,61.497,51.898,34.312,34.289
105,7/6/2023 9:28:29.4 AM,-9999.000,33.613,35.035,49.790,61.862,51.905,34.348,34.368
106,7/6/2023 9:28:29.9 AM,-9999.000,33.598,35.035,49.717,62.350,52.150,34.348,34.281
107,7/6/2023 9:28:30.4 AM,-9999.000,33.598,34.977,49.804,62.350,52.568,34.318,34.310
108,7/6/2023 9:28:30.9 AM,-9999.000,33.598,35.006,49.804,62.938,53.029,34.304,34.310
109,7/6/2023 9:28:31.4 AM,-9999.000,33.688,34.949,49.821,63.905,53.539,34.339,34.345
110,7/6/2023 9:28:31.9 AM,-9999.000,33.541,34.949,49.849,64.923,53.539,34.383,34.404
111,7/6/2023 9:28:32.4 AM,-9999.000,33.571,35.008,49.777,65.990,54.150,34.389,34.366
112,7/6/2023 9:28:32.9 AM,-9999.000,33.571,34.964,49.792,65.990,54.899,34.287,34.381
113,7/6/2023 9:28:33.4 AM,-9999.000,33.550,35.045,49.785,67.293,55.417,34.243,34.381
114,7/6/2023 9:28:33.9 AM,-9999.000,33.564,34.899,49.872,68.511,56.180,34.316,34.381
115,7/6/2023 9:28:34.4 AM,-9999.000,33.638,34.899,49.785,69.920,56.186,34.323,34.343
116,7/6/2023 9:28:34.9 AM,-9999.000,33.638,35.104,49.800,71.653,56.890,34.410,34.373
117,7/6/2023 9:28:35.4 AM,-9999.000,33.602,34.966,49.794,71.659,57.544,34.314,34.379
118,7/6/2023 9:28:35.9 AM,-9999.000,33.543,35.010,49.851,73.892,58.176,34.329,34.379
119,7/6/2023 9:28:36.4 AM,-9999.000,33.602,34.995,49.765,75.939,58.176,34.329,34.452
120,7/6/2023 9:28:36.9 AM,-9999.000,33.587,34.995,49.794,77.456,58.779,34.329,34.335
121,7/6/2023 9:28:37.4 AM,-9999.000,33.587,34.937,49.808,78.944,59.296,34.373,34.379
122,7/6/2023 9:28:37.9 AM,-9999.000,33.602,35.010,49.808,78.944,59.857,34.285,34.350
123,7/6/2023 9:28:38.4 AM,-9999.000,33.675,34.966,49.736,80.728,60.310,34.381,34.343
124,7/6/2023 9:28:38.9 AM,-9999.000,33.587,34.966,49.736,82.432,60.310,34.279,34.417
125,7/6/2023 9:28:39.4 AM,-9999.000,33.690,34.966,49.794,84.274,60.878,34.272,34.366
126,7/6/2023 9:28:39.9 AM,-9999.000,33.690,34.995,49.736,86.165,61.409,34.331,34.381
127,7/6/2023 9:28:40.4 AM,-9999.000,33.660,35.054,49.736,86.165,61.897,34.360,34.381
128,7/6/2023 9:28:40.9 AM,-9999.000,33.660,35.024,49.765,88.430,62.384,34.346,34.381
129,7/6/2023 9:28:41.4 AM,-9999.000,33.681,34.958,49.800,90.519,62.378,34.383,34.448
130,7/6/2023 9:28:41.9 AM,-9999.000,33.638,34.958,49.858,92.442,62.852,34.383,34.345
131,7/6/2023 9:28:42.4 AM,-9999.000,33.638,35.002,49.814,92.436,63.376,34.231,34.427
132,7/6/2023 9:28:42.9 AM,-9999.000,33.579,34.899,49.814,94.045,63.706,34.377,34.427
133,7/6/2023 9:28:43.4 AM,-9999.000,33.608,34.958,49.771,95.454,63.993,34.348,34.295
134,7/6/2023 9:28:43.9 AM,-9999.000,33.564,34.958,49.814,96.532,63.993,34.348,34.339
135,7/6/2023 9:28:44.4 AM,-9999.000,33.638,34.958,49.757,97.476,64.115,34.341,34.289
136,7/6/2023 9:28:44.9 AM,-9999.000,33.638,34.972,49.785,97.476,64.273,34.239,34.274
137,7/6/2023 9:28:45.4 AM,-9999.000,33.615,35.052,49.792,98.045,64.181,34.306,34.268
138,7/6/2023 9:28:45.9 AM,-9999.000,33.629,35.008,49.806,98.477,64.066,34.291,34.312
139,7/6/2023 9:28:46.4 AM,-9999.000,33.709,35.014,49.812,98.880,64.066,34.320,34.341
140,7/6/2023 9:28:46.9 AM,-9999.000,33.635,34.999,49.769,97.829,63.909,34.320,34.297
141,7/6/2023 9:28:47.4 AM,-9999.000,33.635,34.985,49.783,97.829,63.722,34.335,34.385
142,7/6/2023 9:28:47.9 AM,-9999.000,33.694,34.999,49.783,99.932,63.507,34.364,34.385
143,7/6/2023 9:28:48.4 AM,-9999.000,33.621,35.058,49.812,100.162,63.306,34.379,34.400
144,7/6/2023 9:28:48.9 AM,-9999.000,33.709,35.058,49.769,100.090,63.306,34.379,34.356
145,7/6/2023 9:28:49.4 AM,-9999.000,33.715,34.991,49.819,100.141,63.185,34.314,34.335
146,7/6/2023 9:28:49.9 AM,-9999.000,33.686,34.991,49.847,100.141,62.827,34.314,34.247
147,7/6/2023 9:28:50.4 AM,-9999.000,33.648,35.071,49.854,100.487,62.726,34.416,34.247
148,7/6/2023 9:28:50.9 AM,-9999.000,33.663,35.056,49.825,101.338,62.511,34.182,34.364
