Device: DAQ 3
Serial Number: 2109C4C
Channel Count: 8
Sample Count: 22621
Start Time: 7/6/2023 1:08:25.1 PM
Scan Rate: 2
Sample,Date/Time,TC24 (°C),TC27 (°C),TC19 (°C),TC20 (°C),TC45 (°C),TC43 (°C),TC31 (°C),TC25 (°C)
0,7/6/2023 1:08:25.1 PM,-9999.000,149.655,122.435,-62.662,473.706,412.875,200.417,165.264
1,7/6/2023 1:08:25.6 PM,-9999.000,149.700,122.304,-62.662,473.730,412.879,200.379,165.270
2,7/6/2023 1:08:26.1 PM,-9999.000,149.818,122.362,-62.731,473.801,412.782,200.319,165.255
3,7/6/2023 1:08:26.6 PM,-9999.000,149.936,122.362,-62.627,473.801,412.817,200.325,165.336
4,7/6/2023 1:08:27.1 PM,-9999.000,149.951,122.333,-62.679,473.722,412.774,200.325,165.247
5,7/6/2023 1:08:27.6 PM,-9999.000,149.951,122.464,-62.679,473.825,412.780,200.436,165.313
6,7/6/2023 1:08:28.1 PM,-9999.000,149.981,122.596,-62.645,473.811,412.695,200.332,165.313
7,7/6/2023 1:08:28.6 PM,-9999.000,149.981,122.698,-62.524,473.804,412.631,200.457,165.319
8,7/6/2023 1:08:29.1 PM,-9999.000,150.144,122.698,-62.627,473.804,412.631,200.457,165.304
9,7/6/2023 1:08:29.6 PM,-9999.000,150.061,122.646,-62.603,473.782,412.637,200.464,165.266
10,7/6/2023 1:08:30.1 PM,-9999.000,150.061,122.690,-62.603,473.910,412.637,200.508,165.266
11,7/6/2023 1:08:30.6 PM,-9999.000,150.091,122.748,-62.603,473.896,412.615,200.485,165.391
12,7/6/2023 1:08:31.1 PM,-9999.000,150.194,122.617,-62.534,473.927,412.574,200.515,165.391
13,7/6/2023 1:08:31.6 PM,-9999.000,150.165,122.617,-62.672,473.934,412.536,200.521,165.398
14,7/6/2023 1:08:32.1 PM,-9999.000,150.150,122.806,-62.517,473.893,412.536,200.536,165.338
15,7/6/2023 1:08:32.6 PM,-9999.000,150.144,122.712,-62.524,473.958,412.545,200.602,165.345
16,7/6/2023 1:08:33.1 PM,-9999.000,150.099,122.742,-62.541,474.009,412.485,200.557,165.285
17,7/6/2023 1:08:33.6 PM,-9999.000,150.129,122.771,-62.627,474.009,412.528,200.513,165.449
18,7/6/2023 1:08:34.1 PM,-9999.000,150.114,122.771,-62.576,473.958,412.457,200.513,165.374
19,7/6/2023 1:08:34.6 PM,-9999.000,150.158,122.640,-62.455,473.878,412.464,200.430,165.366
20,7/6/2023 1:08:35.1 PM,-9999.000,150.158,122.800,-62.455,473.974,412.464,200.430,165.366
21,7/6/2023 1:08:35.6 PM,-9999.000,150.241,122.779,-62.514,473.962,412.394,200.445,165.410
22,7/6/2023 1:08:36.1 PM,-9999.000,150.330,122.779,-62.377,473.962,412.409,200.445,165.366
23,7/6/2023 1:08:36.6 PM,-9999.000,150.315,122.837,-62.463,473.822,412.351,200.594,165.366
24,7/6/2023 1:08:37.1 PM,-9999.000,150.315,122.998,-62.480,473.863,412.223,200.668,165.381
25,7/6/2023 1:08:37.6 PM,-9999.000,150.256,122.896,-62.480,473.878,412.223,200.623,165.381
26,7/6/2023 1:08:38.1 PM,-9999.000,150.270,122.998,-62.445,473.893,412.351,200.638,165.440
27,7/6/2023 1:08:38.6 PM,-9999.000,150.196,122.998,-62.411,473.893,412.195,200.638,165.529
28,7/6/2023 1:08:39.1 PM,-9999.000,150.433,122.881,-62.480,473.893,412.237,200.579,165.470
29,7/6/2023 1:08:39.6 PM,-9999.000,150.433,122.808,-62.531,473.897,412.218,200.541,165.476
30,7/6/2023 1:08:40.1 PM,-9999.000,150.315,122.852,-62.531,473.910,412.218,200.555,165.476
31,7/6/2023 1:08:40.6 PM,-9999.000,150.344,122.808,-62.377,473.879,412.188,200.615,165.551
32,7/6/2023 1:08:41.1 PM,-9999.000,150.256,122.808,-62.514,473.879,412.132,200.615,165.432
33,7/6/2023 1:08:41.6 PM,-9999.000,150.048,122.750,-62.600,473.960,412.124,200.681,165.498
34,7/6/2023 1:08:42.1 PM,-9999.000,150.048,122.400,-62.600,473.861,412.053,200.666,165.483
35,7/6/2023 1:08:42.6 PM,-9999.000,149.996,122.348,-62.593,473.960,412.053,200.711,165.483
36,7/6/2023 1:08:43.1 PM,-9999.000,150.114,122.114,-62.627,473.947,411.998,200.651,165.512
37,7/6/2023 1:08:43.6 PM,-9999.000,150.099,122.114,-62.748,473.947,412.026,200.651,165.557
38,7/6/2023 1:08:44.1 PM,-9999.000,150.084,122.158,-62.782,474.003,411.984,200.666,165.572
39,7/6/2023 1:08:44.6 PM,-9999.000,150.084,122.071,-62.713,473.947,411.984,200.636,165.572
40,7/6/2023 1:08:45.1 PM,-9999.000,150.040,121.954,-62.713,473.919,412.040,200.621,165.319
41,7/6/2023 1:08:45.6 PM,-9999.000,150.135,121.975,-62.654,473.846,411.941,200.740,165.557
42,7/6/2023 1:08:46.1 PM,-9999.000,150.165,121.975,-62.654,473.846,411.900,200.740,165.646
43,7/6/2023 1:08:46.6 PM,-9999.000,150.165,122.033,-62.654,473.861,411.969,200.696,165.587
44,7/6/2023 1:08:47.1 PM,-9999.000,150.165,122.121,-62.654,473.790,411.969,200.711,165.587
45,7/6/2023 1:08:47.6 PM,-9999.000,150.165,122.223,-62.775,473.833,411.941,200.740,165.617
46,7/6/2023 1:08:48.1 PM,-9999.000,150.224,122.325,-62.672,473.734,411.958,200.800,165.572
47,7/6/2023 1:08:48.6 PM,-9999.000,150.328,122.325,-62.723,473.734,411.900,200.800,165.602
48,7/6/2023 1:08:49.1 PM,-9999.000,150.342,122.369,-62.672,473.695,411.911,200.755,165.557
49,7/6/2023 1:08:49.6 PM,-9999.000,150.342,122.500,-62.672,473.634,411.906,200.853,165.551
50,7/6/2023 1:08:50.1 PM,-9999.000,150.476,122.646,-62.603,473.545,411.962,200.853,165.625
