Device: DAQ1
Serial Number: 2135CBB
Channel Count: 8
Sample Count: 11312
Start Time: 7/6/2023 1:08:25 PM
Scan Rate: 1
Sample,Date/Time,TC37 (°C),TC41 (°C),TC36 (°C),TC39 (°C),TC21 (°C),TC30 (°C),TC28 (°C),TC23 (°C)
0,7/6/2023 1:08:25 PM,-9999.000,492.100,144.500,341.906,66.204,88.085,70.346,202.285
1,7/6/2023 1:08:26 PM,-9999.000,492.125,144.618,341.991,65.222,88.536,70.767,202.396
2,7/6/2023 1:08:27 PM,-9999.000,492.115,144.585,342.044,64.308,88.870,70.929,202.355
3,7/6/2023 1:08:28 PM,-9999.000,492.188,144.518,342.066,64.254,88.744,70.918,202.403
4,7/6/2023 1:08:29 PM,-9999.000,492.271,144.627,342.071,64.127,88.459,70.748,202.450
5,7/6/2023 1:08:30 PM,-9999.000,492.335,144.617,342.032,63.942,88.303,70.635,202.616
6,7/6/2023 1:08:31 PM,-9999.000,492.404,144.621,342.079,63.556,88.347,70.565,202.543
7,7/6/2023 1:08:32 PM,-9999.000,492.386,144.642,342.256,63.341,88.649,70.765,202.572
8,7/6/2023 1:08:33 PM,-9999.000,492.419,144.663,342.090,63.333,88.813,70.843,202.594
9,7/6/2023 1:08:34 PM,-9999.000,492.384,144.684,342.183,62.974,89.143,71.115,202.594
10,7/6/2023 1:08:35 PM,-9999.000,492.388,144.675,342.117,63.138,89.106,71.136,202.645
11,7/6/2023 1:08:36 PM,-9999.000,492.390,144.741,342.266,63.927,89.005,71.279,202.674
12,7/6/2023 1:08:37 PM,-9999.000,492.422,144.741,342.067,64.329,88.302,71.078,202.749
13,7/6/2023 1:08:38 PM,-9999.000,492.381,144.637,342.110,64.372,88.403,71.136,202.615
14,7/6/2023 1:08:39 PM,-70246096896.000,492.367,144.667,342.167,64.400,88.761,71.236,202.645
15,7/6/2023 1:08:40 PM,-16454980608.000,492.367,144.785,342.123,64.321,88.438,71.170,202.666
16,7/6/2023 1:08:41 PM,-820966528.000,492.301,144.732,342.102,64.241,88.143,71.177,202.702
17,7/6/2023 1:08:42 PM,-118665960.000,492.430,144.739,342.079,63.401,88.823,71.140,202.500
18,7/6/2023 1:08:43 PM,-369116.125,492.410,144.716,342.042,62.718,89.145,70.917,202.477
19,7/6/2023 1:08:44 PM,-77.715,492.372,144.716,342.014,61.978,89.180,70.966,202.587
20,7/6/2023 1:08:45 PM,76.383,492.357,144.751,341.949,61.554,89.602,71.044,202.504
21,7/6/2023 1:08:46 PM,354.252,492.308,144.707,341.878,61.948,89.450,70.907,202.570
22,7/6/2023 1:08:47 PM,484.461,492.310,144.773,341.870,62.126,89.012,70.884,202.636
23,7/6/2023 1:08:48 PM,726.808,492.274,144.764,341.775,62.356,89.141,71.085,202.636
24,7/6/2023 1:08:49 PM,963.180,492.066,144.720,341.620,63.237,89.118,71.134,202.896
25,7/6/2023 1:08:50 PM,1089.872,491.799,144.770,341.397,64.054,88.501,71.162,202.926
26,7/6/2023 1:08:51 PM,1333.854,491.803,144.779,341.363,64.743,88.344,70.991,202.970
27,7/6/2023 1:08:52 PM,1465.687,491.617,144.720,341.477,64.986,87.928,70.919,203.030
28,7/6/2023 1:08:53 PM,1750.087,491.562,144.838,341.520,65.789,87.698,70.804,203.000
29,7/6/2023 1:08:54 PM,1907.938,491.480,144.785,341.682,66.004,87.798,70.833,202.955
30,7/6/2023 1:08:55 PM,2259.001,491.320,144.756,341.725,67.222,87.655,71.034,203.119
31,7/6/2023 1:08:56 PM,-9999.000,491.164,144.747,341.845,68.039,87.669,70.991,203.089
32,7/6/2023 1:08:57 PM,-9999.000,491.185,144.777,341.759,68.683,87.583,71.091,203.164
33,7/6/2023 1:08:58 PM,-9999.000,491.135,144.880,341.902,68.861,87.532,71.212,203.140
34,7/6/2023 1:08:59 PM,-9999.000,490.993,144.783,341.880,68.690,87.518,71.183,203.170
35,7/6/2023 1:09:00 PM,-9999.000,490.927,144.798,341.951,67.415,87.676,71.040,203.126
36,7/6/2023 1:09:01 PM,-9999.000,490.816,144.893,341.886,66.483,87.633,70.811,203.185
