Device: DAQ 2
Serial Number: 2109C4B
Channel Count: 8
Sample Count: 11782
Start Time: 7/9/2023 9:43:25 AM
Scan Rate: 1
Sample,Date/Time,TC26 (°C),TC32 (°C),TC29 (°C),TC35 (°C),TC44 (°C),TC34 (°C),TC42 (°C),TC33 (°C)
0,7/9/2023 9:43:25 AM,30.081,31.730,27.885,32.774,33.373,33.866,33.756,31.536
1,7/9/2023 9:43:26 AM,30.067,31.803,27.973,32.803,33.423,33.799,33.748,31.674
2,7/9/2023 9:43:27 AM,30.132,31.736,27.935,32.868,33.394,33.960,33.733,31.630
3,7/9/2023 9:43:28 AM,30.109,31.742,27.912,32.860,33.459,33.878,33.754,31.592
4,7/9/2023 9:43:29 AM,30.079,31.772,27.927,32.904,33.407,33.855,33.746,31.598
5,7/9/2023 9:43:30 AM,30.123,31.698,28.015,32.830,33.495,33.870,33.833,31.628
6,7/9/2023 9:43:31 AM,30.100,31.749,27.874,32.807,33.480,33.855,33.775,31.642
7,7/9/2023 9:43:32 AM,30.042,31.778,27.933,32.866,33.465,33.914,33.790,31.657
8,7/9/2023 9:43:33 AM,30.115,31.793,27.889,32.910,33.398,33.876,33.884,31.707
9,7/9/2023 9:43:34 AM,29.991,31.801,27.942,32.786,33.545,33.935,33.942,31.722
10,7/9/2023 9:43:35 AM,30.027,31.763,27.948,32.895,33.522,34.043,33.919,31.684
11,7/9/2023 9:43:36 AM,30.151,31.726,27.851,32.916,33.566,33.999,33.948,31.816
12,7/9/2023 9:43:37 AM,30.071,31.763,27.963,32.925,33.631,34.035,33.999,31.735
13,7/9/2023 9:43:38 AM,30.033,31.755,27.969,32.902,33.566,34.160,33.919,31.772
14,7/9/2023 9:43:39 AM,30.039,31.747,27.872,32.952,33.463,34.087,34.007,31.758
15,7/9/2023 9:43:40 AM,30.149,31.694,27.967,32.943,33.624,34.146,34.022,31.787
16,7/9/2023 9:43:41 AM,30.216,31.761,27.931,32.981,33.572,34.167,34.043,31.764
17,7/9/2023 9:43:42 AM,30.075,31.724,27.923,33.061,33.704,34.108,33.969,31.749
18,7/9/2023 9:43:43 AM,30.134,31.782,28.011,33.134,33.645,34.152,34.072,31.676
19,7/9/2023 9:43:44 AM,30.096,31.789,27.914,33.038,33.608,34.144,34.049,31.873
20,7/9/2023 9:43:45 AM,30.140,31.715,27.988,32.891,33.651,34.129,34.093,31.726
21,7/9/2023 9:43:46 AM,30.037,31.730,27.973,33.082,33.658,34.150,34.070,31.806
22,7/9/2023 9:43:47 AM,30.067,31.803,27.944,33.052,33.725,34.173,34.107,31.858
23,7/9/2023 9:43:48 AM,30.170,31.774,27.885,33.023,33.622,34.173,34.107,31.932
24,7/9/2023 9:43:49 AM,30.155,31.701,27.959,33.140,33.681,34.129,34.195,31.976
25,7/9/2023 9:43:50 AM,30.155,31.745,27.973,33.184,33.731,34.135,34.216,31.967
26,7/9/2023 9:43:51 AM,30.132,31.780,27.950,33.146,33.746,34.091,34.216,32.011
27,7/9/2023 9:43:52 AM,30.044,31.780,27.936,33.205,33.752,34.127,34.208,32.003
28,7/9/2023 9:43:53 AM,30.138,31.728,27.927,33.153,33.825,34.083,34.295,32.047
29,7/9/2023 9:43:54 AM,30.079,31.787,27.883,33.153,33.737,33.995,34.295,31.915
30,7/9/2023 9:43:55 AM,30.130,31.763,27.978,33.100,33.773,34.045,34.243,32.097
