Device: DAQ1
Serial Number: 2135CBB
Channel Count: 8
Sample Count: 15632
Start Time: 7/10/2023 10:16:24 AM
Scan Rate: 1
Sample,Date/Time,TC37 (°C),TC41 (°C),TC36 (°C),TC39 (°C),TC21 (°C),TC30 (°C),TC28 (°C),TC23 (°C)
0,7/10/2023 10:16:24 AM,-9999.000,40.562,34.366,37.841,-7.777,-9.678,-11.038,-6.583
1,7/10/2023 10:16:25 AM,-9999.000,40.446,34.263,37.782,-7.807,-9.632,-11.038,-6.568
2,7/10/2023 10:16:26 AM,-9999.000,40.518,34.322,37.870,-7.807,-9.586,-11.084,-6.598
3,7/10/2023 10:16:27 AM,-9999.000,40.547,34.293,37.885,-7.853,-9.663,-11.053,-6.629
4,7/10/2023 10:16:28 AM,-9999.000,40.475,34.293,37.826,-7.731,-9.755,-10.976,-6.553
5,7/10/2023 10:16:29 AM,-9999.000,40.475,34.366,37.928,-7.700,-9.740,-11.038,-6.568
6,7/10/2023 10:16:30 AM,-9999.000,40.489,34.278,37.870,-7.761,-9.540,-11.084,-6.537
7,7/10/2023 10:16:31 AM,-9999.000,40.475,34.336,37.914,-7.853,-9.556,-10.991,-6.583
8,7/10/2023 10:16:32 AM,-9999.000,40.489,34.336,37.797,-7.838,-9.602,-11.099,-6.553
9,7/10/2023 10:16:33 AM,-9999.000,40.423,34.430,37.833,-7.823,-9.556,-11.053,-6.537
10,7/10/2023 10:16:34 AM,-9999.000,40.452,34.299,37.876,-7.807,-9.556,-11.130,-6.553
11,7/10/2023 10:16:35 AM,-9999.000,40.394,34.284,37.833,-7.868,-9.479,-11.053,-6.644
12,7/10/2023 10:16:36 AM,-9999.000,40.481,34.313,37.847,-7.654,-9.494,-10.976,-6.537
13,7/10/2023 10:16:37 AM,-9999.000,40.458,34.349,37.853,-7.792,-9.510,-10.976,-6.491
14,7/10/2023 10:16:38 AM,-9999.000,40.473,34.276,37.737,-7.700,-9.479,-11.084,-6.507
15,7/10/2023 10:16:39 AM,-9999.000,40.450,34.224,37.816,-7.731,-9.586,-11.068,-6.537
16,7/10/2023 10:16:40 AM,-9999.000,40.427,34.391,37.851,-7.700,-9.678,-11.038,-6.553
