Device: DAQ 3
Serial Number: 2109C4C
Channel Count: 8
Sample Count: 7972
Start Time: 8/25/2023 10:24:33.9 AM
Scan Rate: 2
Sample,Date/Time,TC24 (°C),TC27 (°C),TC19 (°C),TC20 (°C),TC45 (°C),TC43 (°C),TC31 (°C),TC25 (°C)
0,8/25/2023 10:24:33.9 AM,-9999.000,81.963,51.558,57.532,114.849,117.445,67.206,92.726
1,8/25/2023 10:24:34.4 AM,-9999.000,81.934,51.572,57.604,114.703,117.009,54.401,92.712
2,8/25/2023 10:24:34.9 AM,-9999.000,81.819,51.601,57.546,114.639,117.002,54.395,92.706
3,8/25/2023 10:24:35.4 AM,-9999.000,81.748,51.601,57.475,114.421,116.871,44.573,92.706
4,8/25/2023 10:24:35.9 AM,-9999.000,81.748,51.616,57.475,114.415,116.822,56.633,92.700
5,8/25/2023 10:24:36.4 AM,-9999.000,81.662,51.587,57.475,114.444,116.749,69.714,92.743
6,8/25/2023 10:24:36.9 AM,-9999.000,81.697,51.708,57.610,114.386,116.749,69.714,92.657
7,8/25/2023 10:24:37.4 AM,-9999.000,81.510,51.708,57.509,114.212,116.720,67.036,92.728
8,8/25/2023 10:24:37.9 AM,-9999.000,81.639,51.708,57.481,114.046,116.539,75.620,92.651
9,8/25/2023 10:24:38.4 AM,-9999.000,81.639,51.809,57.466,114.046,116.379,66.801,92.651
10,8/25/2023 10:24:38.9 AM,-9999.000,81.539,51.694,57.466,113.953,116.402,81.913,92.601
11,8/25/2023 10:24:39.4 AM,-9999.000,81.611,51.752,57.509,114.054,116.402,81.913,92.673
12,8/25/2023 10:24:39.9 AM,-9999.000,81.797,51.737,57.495,114.150,116.527,53.391,92.638
13,8/25/2023 10:24:40.4 AM,-9999.000,81.768,51.737,57.423,114.135,116.454,59.718,92.581
14,8/25/2023 10:24:40.9 AM,-9999.000,81.774,51.743,57.559,114.129,116.331,70.749,92.575
15,8/25/2023 10:24:41.4 AM,-9999.000,81.860,51.743,57.559,114.114,116.491,53.888,92.603
16,8/25/2023 10:24:41.9 AM,-9999.000,81.883,51.752,57.509,114.230,116.491,53.888,92.603
17,8/25/2023 10:24:42.4 AM,-9999.000,81.940,51.809,57.438,114.172,116.695,53.096,92.546
18,8/25/2023 10:24:42.9 AM,-9999.000,81.918,51.815,57.516,114.166,116.776,66.346,92.540
19,8/25/2023 10:24:43.4 AM,-9999.000,81.918,51.772,57.487,114.050,116.936,65.143,92.583
20,8/25/2023 10:24:43.9 AM,-9999.000,81.866,51.735,57.493,114.102,116.944,73.686,92.548
21,8/25/2023 10:24:44.4 AM,-9999.000,81.895,51.764,57.522,114.291,116.944,73.686,92.505
22,8/25/2023 10:24:44.9 AM,-9999.000,81.924,51.764,57.479,114.342,117.069,65.833,92.527
23,8/25/2023 10:24:45.4 AM,-9999.000,81.924,51.663,57.493,114.342,117.127,64.070,92.527
24,8/25/2023 10:24:45.9 AM,-9999.000,81.909,51.735,57.493,114.322,117.251,55.447,92.406
25,8/25/2023 10:24:46.4 AM,-9999.000,81.981,51.663,57.493,114.365,117.281,72.629,92.521
26,8/25/2023 10:24:46.9 AM,-9999.000,81.903,51.714,57.487,114.388,117.274,72.623,92.486
27,8/25/2023 10:24:47.4 AM,-9999.000,81.903,51.714,57.559,114.301,117.376,75.299,92.501
28,8/25/2023 10:24:47.9 AM,-9999.000,81.903,51.700,57.472,114.295,117.399,61.412,92.495
29,8/25/2023 10:24:48.4 AM,-9999.000,81.903,51.686,57.386,114.382,117.297,51.603,92.423
30,8/25/2023 10:24:48.9 AM,-9999.000,81.881,51.778,57.392,114.390,117.364,60.803,92.431
31,8/25/2023 10:24:49.4 AM,-9999.000,81.924,51.533,57.450,114.376,117.364,60.803,92.431
32,8/25/2023 10:24:49.9 AM,-9999.000,81.881,51.533,57.407,114.317,117.335,52.837,92.359
33,8/25/2023 10:24:50.4 AM,-9999.000,81.881,51.533,57.450,114.317,117.349,59.497,92.359
34,8/25/2023 10:24:50.9 AM,-9999.000,81.938,51.418,57.378,114.398,117.401,77.628,92.353
35,8/25/2023 10:24:51.4 AM,-9999.000,81.938,51.504,57.378,114.427,117.401,77.628,92.382
36,8/25/2023 10:24:51.9 AM,-9999.000,81.887,51.496,57.442,114.494,117.424,53.473,92.404
37,8/25/2023 10:24:52.4 AM,-9999.000,81.944,51.496,57.485,114.726,117.540,47.743,92.390
38,8/25/2023 10:24:52.9 AM,-9999.000,81.938,51.475,57.378,114.726,117.642,65.008,92.390
39,8/25/2023 10:24:53.4 AM,-9999.000,81.924,51.490,57.407,114.581,117.715,74.559,92.390
40,8/25/2023 10:24:53.9 AM,-9999.000,81.889,51.513,57.401,114.697,117.715,74.559,92.332
41,8/25/2023 10:24:54.4 AM,-9999.000,81.961,51.556,57.386,114.552,117.627,72.698,92.404
42,8/25/2023 10:24:54.9 AM,-9999.000,81.975,51.556,57.501,114.610,117.700,47.570,92.375
43,8/25/2023 10:24:55.4 AM,-9999.000,81.975,51.556,57.444,114.610,117.584,59.614,92.375
44,8/25/2023 10:24:55.9 AM,-9999.000,81.881,51.461,57.364,114.566,117.526,55.172,92.261
45,8/25/2023 10:24:56.4 AM,-9999.000,81.924,51.533,57.364,114.653,117.526,55.172,92.361
46,8/25/2023 10:24:56.9 AM,-9999.000,81.952,51.447,57.493,114.653,117.482,66.756,92.332
47,8/25/2023 10:24:57.4 AM,-9999.000,81.852,51.447,57.321,114.726,117.613,60.202,92.318
48,8/25/2023 10:24:57.9 AM,-9999.000,81.846,51.455,57.401,114.726,117.671,66.383,92.318
49,8/25/2023 10:24:58.4 AM,-9999.000,81.918,51.426,57.401,114.726,117.817,58.565,92.304
50,8/25/2023 10:24:58.9 AM,-9999.000,81.975,51.484,57.372,114.799,117.817,58.565,92.318
51,8/25/2023 10:24:59.4 AM,-9999.000,81.889,51.455,57.415,114.755,117.817,50.690,92.318
52,8/25/2023 10:24:59.9 AM,-9999.000,81.895,51.461,57.392,114.755,117.904,40.013,92.318
53,8/25/2023 10:25:00.4 AM,-9999.000,81.895,51.461,57.378,114.799,117.904,56.265,92.375
54,8/25/2023 10:25:00.9 AM,-9999.000,81.903,51.426,57.372,114.857,118.035,68.002,92.289
55,8/25/2023 10:25:01.4 AM,-9999.000,81.989,51.556,57.415,114.857,118.035,68.002,92.261
56,8/25/2023 10:25:01.9 AM,-9999.000,81.875,51.469,57.329,114.828,118.035,61.264,92.275
57,8/25/2023 10:25:02.4 AM,-9999.000,81.875,51.469,57.343,114.828,118.107,51.729,92.275
58,8/25/2023 10:25:02.9 AM,-9999.000,81.809,51.360,57.277,114.799,117.962,64.793,92.318
59,8/25/2023 10:25:03.4 AM,-9999.000,81.909,51.389,57.277,114.668,117.860,66.928,92.246
60,8/25/2023 10:25:03.9 AM,-9999.000,81.823,51.475,57.364,114.529,117.866,66.934,92.367
61,8/25/2023 10:25:04.4 AM,-9999.000,81.881,51.447,57.364,114.515,117.605,60.237,92.238
62,8/25/2023 10:25:04.9 AM,-9999.000,81.881,51.447,57.407,114.515,117.663,65.702,92.238
63,8/25/2023 10:25:05.4 AM,-9999.000,81.795,51.562,57.349,114.471,117.532,73.291,92.296
64,8/25/2023 10:25:05.9 AM,-9999.000,81.866,51.475,57.349,114.361,117.538,73.297,92.316
65,8/25/2023 10:25:06.4 AM,-9999.000,81.881,51.504,57.292,114.347,117.495,81.142,92.287
66,8/25/2023 10:25:06.9 AM,-9999.000,81.901,51.511,57.384,114.062,117.457,76.424,92.164
67,8/25/2023 10:25:07.4 AM,-9999.000,81.901,51.511,57.399,114.062,117.152,71.271,92.164
68,8/25/2023 10:25:07.9 AM,-9999.000,81.850,51.531,57.347,113.996,117.143,64.473,92.213
69,8/25/2023 10:25:08.4 AM,-9999.000,81.907,51.502,57.347,113.909,117.143,64.473,92.300
70,8/25/2023 10:25:08.9 AM,-9999.000,81.887,51.496,57.355,113.944,117.150,59.688,92.277
71,8/25/2023 10:25:09.4 AM,-9999.000,81.815,51.496,57.312,113.886,117.048,61.137,92.263
72,8/25/2023 10:25:09.9 AM,-9999.000,81.809,51.533,57.292,113.892,116.981,77.845,92.269
73,8/25/2023 10:25:10.4 AM,-9999.000,81.881,51.548,57.349,113.689,116.865,74.166,92.255
74,8/25/2023 10:25:10.9 AM,-9999.000,81.852,51.533,57.349,113.623,116.871,74.173,92.261
75,8/25/2023 10:25:11.4 AM,-9999.000,81.866,51.519,57.263,113.536,116.770,52.306,92.275
76,8/25/2023 10:25:11.9 AM,-9999.000,81.760,51.513,57.357,113.461,116.622,60.186,92.273
77,8/25/2023 10:25:12.4 AM,-9999.000,81.760,51.556,57.329,113.461,116.608,70.377,92.273
78,8/25/2023 10:25:12.9 AM,-9999.000,81.731,51.498,57.343,113.453,116.672,66.459,92.294
79,8/25/2023 10:25:13.4 AM,-9999.000,81.688,51.541,57.343,113.424,116.672,66.459,92.279
80,8/25/2023 10:25:13.9 AM,-9999.000,81.817,51.527,57.415,113.395,116.701,60.537,92.265
81,8/25/2023 10:25:14.4 AM,-9999.000,81.817,51.527,57.386,113.395,116.672,66.574,92.265
82,8/25/2023 10:25:14.9 AM,-9999.000,81.823,51.548,57.392,113.335,116.655,61.080,92.205
83,8/25/2023 10:25:15.4 AM,-9999.000,81.866,51.504,57.335,113.494,116.714,54.397,92.306
84,8/25/2023 10:25:15.9 AM,-9999.000,81.760,51.484,57.329,113.399,116.720,54.403,92.283
85,8/25/2023 10:25:16.4 AM,-9999.000,81.717,51.426,57.257,113.399,116.676,52.444,92.212
86,8/25/2023 10:25:16.9 AM,-9999.000,81.711,51.420,57.251,113.399,116.545,68.784,92.212
87,8/25/2023 10:25:17.4 AM,-9999.000,81.639,51.449,57.294,113.298,116.255,68.526,92.226
88,8/25/2023 10:25:17.9 AM,-9999.000,81.791,51.399,57.273,113.188,116.101,49.781,92.189
89,8/25/2023 10:25:18.4 AM,-9999.000,81.776,51.529,57.273,113.057,116.101,49.781,92.232
90,8/25/2023 10:25:18.9 AM,-9999.000,81.748,51.486,57.259,113.150,116.035,59.764,92.238
91,8/25/2023 10:25:19.4 AM,-9999.000,81.748,51.486,57.331,113.150,116.020,61.472,92.238
92,8/25/2023 10:25:19.9 AM,-9999.000,81.825,51.506,57.323,113.273,116.026,66.123,92.259
93,8/25/2023 10:25:20.4 AM,-9999.000,81.811,51.579,57.323,113.316,115.910,66.123,92.259
94,8/25/2023 10:25:20.9 AM,-9999.000,81.754,51.478,57.251,113.250,115.916,63.205,92.179
95,8/25/2023 10:25:21.4 AM,-9999.000,81.840,51.506,57.236,113.337,115.989,63.679,92.222
96,8/25/2023 10:25:21.9 AM,-9999.000,81.846,51.513,57.271,113.337,115.902,62.287,92.222
97,8/25/2023 10:25:22.4 AM,-9999.000,81.703,51.282,57.343,113.424,115.989,68.708,92.222
98,8/25/2023 10:25:22.9 AM,-9999.000,81.725,51.348,57.337,113.662,115.952,68.714,92.228
99,8/25/2023 10:25:23.4 AM,-9999.000,81.811,51.304,57.208,113.604,115.952,62.781,92.242
100,8/25/2023 10:25:23.9 AM,-9999.000,81.754,51.276,57.228,113.625,116.103,55.232,92.148
101,8/25/2023 10:25:24.4 AM,-9999.000,81.760,51.282,57.214,113.625,116.190,60.319,92.148
102,8/25/2023 10:25:24.9 AM,-9999.000,81.774,51.339,57.271,113.669,116.219,64.952,92.248
103,8/25/2023 10:25:25.4 AM,-9999.000,81.754,51.333,57.265,113.495,116.219,64.952,92.134
104,8/25/2023 10:25:25.9 AM,-9999.000,81.711,51.304,57.251,113.553,116.118,71.183,92.191
