Device: DAQ 4
Serial Number: 2135C5F
Channel Count: 7
Sample Count: 3986
Start Time: 8/25/2023 10:24:33 AM
Scan Rate: 1
Sample,Date/Time,Engine Inlet Left (°C),TC15 (°C),TESS Out (°C),Engine Exhaust (°C),Engine Inlet Right (°C),TC18 (°C),TESS In (°C)
0,8/25/2023 10:24:33 AM,44.836,29.047,29.252,54.318,34.002,29.538,28.192
1,8/25/2023 10:24:34 AM,45.372,29.091,29.208,54.361,34.017,29.509,28.221
2,8/25/2023 10:24:35 AM,45.264,29.084,29.231,54.137,33.789,29.647,28.095
3,8/25/2023 10:24:36 AM,45.250,29.084,29.216,54.122,33.365,29.633,28.228
4,8/25/2023 10:24:37 AM,45.113,29.093,29.210,54.079,33.365,29.706,28.228
5,8/25/2023 10:24:38 AM,44.875,28.998,29.130,53.993,33.042,29.500,28.184
6,8/25/2023 10:24:39 AM,44.564,29.066,29.197,53.762,32.896,29.750,28.242
7,8/25/2023 10:24:40 AM,44.535,29.095,29.197,53.647,33.394,29.633,28.110
8,8/25/2023 10:24:41 AM,44.448,29.080,29.138,53.618,33.013,29.721,28.169
9,8/25/2023 10:24:42 AM,44.579,29.036,29.124,53.503,32.837,29.559,28.228
10,8/25/2023 10:24:43 AM,44.390,29.007,29.124,53.423,33.019,29.609,28.102
11,8/25/2023 10:24:44 AM,44.550,29.007,29.109,53.501,33.260,29.616,28.270
12,8/25/2023 10:24:45 AM,44.252,29.042,29.159,53.400,33.158,29.513,28.167
13,8/25/2023 10:24:46 AM,44.187,28.977,29.109,53.299,32.791,29.616,28.137
14,8/25/2023 10:24:47 AM,44.158,29.066,29.153,53.198,32.703,29.675,28.034
15,8/25/2023 10:24:48 AM,44.129,29.110,29.065,53.118,33.413,29.637,28.144
16,8/25/2023 10:24:49 AM,44.237,28.998,29.100,53.052,33.199,29.658,28.150
17,8/25/2023 10:24:50 AM,44.055,29.063,29.092,53.023,33.492,29.672,28.091
18,8/25/2023 10:24:51 AM,44.278,29.026,29.172,52.980,33.273,29.672,28.135
19,8/25/2023 10:24:52 AM,44.299,29.105,29.193,52.894,33.068,29.614,28.121
20,8/25/2023 10:24:53 AM,44.262,29.068,29.170,52.879,33.097,29.584,28.209
21,8/25/2023 10:24:54 AM,44.204,28.979,29.126,52.729,33.091,29.622,28.100
22,8/25/2023 10:24:55 AM,44.218,29.024,29.199,52.636,33.275,29.763,28.167
23,8/25/2023 10:24:56 AM,44.326,29.059,29.220,52.578,33.377,29.586,28.123
24,8/25/2023 10:24:57 AM,43.999,29.183,29.241,52.607,34.007,29.542,28.137
25,8/25/2023 10:24:58 AM,42.916,29.057,29.189,52.506,34.987,29.675,28.240
26,8/25/2023 10:24:59 AM,42.408,29.116,29.130,52.370,34.352,29.551,28.087
27,8/25/2023 10:25:00 AM,42.705,29.063,29.210,52.385,32.976,29.639,28.087
28,8/25/2023 10:25:01 AM,42.792,29.049,29.224,52.255,33.547,29.668,28.057
29,8/25/2023 10:25:02 AM,42.929,29.070,29.186,52.247,33.597,29.616,28.137
30,8/25/2023 10:25:03 AM,43.713,29.084,29.289,52.189,33.377,29.616,28.152
31,8/25/2023 10:25:04 AM,44.061,29.055,29.231,52.232,33.333,29.572,28.137
32,8/25/2023 10:25:05 AM,44.111,29.002,29.325,52.059,33.436,29.528,28.152
33,8/25/2023 10:25:06 AM,44.067,29.150,29.266,52.002,33.319,29.660,28.137
34,8/25/2023 10:25:07 AM,44.198,29.194,29.266,51.930,33.626,29.660,28.152
35,8/25/2023 10:25:08 AM,44.349,29.053,29.214,51.923,33.268,29.580,28.234
36,8/25/2023 10:25:09 AM,44.500,29.133,29.249,51.808,33.254,29.609,28.219
37,8/25/2023 10:25:10 AM,44.378,29.023,29.243,51.816,32.603,29.618,28.154
38,8/25/2023 10:25:11 AM,44.239,29.074,29.220,51.600,32.867,29.618,28.022
39,8/25/2023 10:25:12 AM,43.696,29.097,29.228,51.487,32.796,29.693,28.097
40,8/25/2023 10:25:13 AM,42.898,29.038,29.126,51.544,32.605,29.502,28.097
41,8/25/2023 10:25:14 AM,43.028,29.126,29.228,51.515,33.030,29.532,28.156
42,8/25/2023 10:25:15 AM,43.501,29.105,29.266,51.423,32.833,29.511,28.135
43,8/25/2023 10:25:16 AM,43.690,28.988,29.252,51.416,32.680,29.549,28.144
44,8/25/2023 10:25:17 AM,43.690,29.120,29.178,51.287,32.431,29.622,28.041
45,8/25/2023 10:25:18 AM,43.742,29.011,29.231,51.223,32.674,29.572,28.078
46,8/25/2023 10:25:19 AM,43.634,29.093,29.224,51.173,33.122,29.565,28.087
47,8/25/2023 10:25:20 AM,43.387,29.078,29.165,51.122,32.410,29.660,28.123
