Device: DAQ1
Serial Number: 2135CBB
Channel Count: 8
Sample Count: 3986
Start Time: 8/25/2023 10:24:33 AM
Scan Rate: 1
Sample,Date/Time,TC37 (°C),TC41 (°C),TC36 (°C),TC39 (°C),TC21 (°C),TC30 (°C),TC28 (°C),TC23 (°C)
0,8/25/2023 10:24:33 AM,-9999.000,120.210,63.312,90.864,2.022,5.772,4.779,31.841
1,8/25/2023 10:24:34 AM,-9999.000,120.122,63.312,91.654,2.111,5.802,4.779,31.856
2,8/25/2023 10:24:35 AM,-9999.000,119.621,63.248,92.840,2.007,5.742,4.808,31.797
3,8/25/2023 10:24:36 AM,-9999.000,119.431,63.220,94.234,2.156,5.742,4.898,31.797
4,8/25/2023 10:24:37 AM,-9999.000,119.257,63.220,94.277,2.111,5.713,4.898,31.841
5,8/25/2023 10:24:38 AM,-9999.000,119.148,63.242,94.070,2.022,5.727,4.749,31.724
6,8/25/2023 10:24:39 AM,-9999.000,119.244,63.265,93.216,2.051,5.713,4.823,31.738
7,8/25/2023 10:24:40 AM,-9999.000,119.515,63.230,92.247,2.022,5.683,4.734,31.636
8,8/25/2023 10:24:41 AM,-9999.000,119.456,63.259,93.095,2.111,5.668,4.808,31.724
9,8/25/2023 10:24:42 AM,-9999.000,119.363,63.195,93.318,2.007,5.668,4.764,31.680
10,8/25/2023 10:24:43 AM,-9999.000,119.488,63.175,94.706,2.111,5.578,4.749,31.724
11,8/25/2023 10:24:44 AM,-9999.000,119.531,63.175,95.612,2.066,5.683,4.779,31.606
12,8/25/2023 10:24:45 AM,-9999.000,119.691,63.132,96.878,2.051,5.623,4.838,31.680
13,8/25/2023 10:24:46 AM,-9999.000,119.714,63.168,98.081,2.036,5.653,4.838,31.709
14,8/25/2023 10:24:47 AM,-9999.000,119.592,63.205,98.867,1.977,5.638,4.734,31.694
15,8/25/2023 10:24:48 AM,-9999.000,119.606,63.162,99.746,1.932,5.757,4.734,31.665
16,8/25/2023 10:24:49 AM,-9999.000,119.519,63.162,99.991,1.977,5.757,4.823,31.621
17,8/25/2023 10:24:50 AM,-9999.000,119.635,63.220,100.437,2.007,5.653,4.794,31.577
18,8/25/2023 10:24:51 AM,-9999.000,119.548,63.105,100.740,1.932,5.608,4.779,31.636
19,8/25/2023 10:24:52 AM,-9999.000,119.760,63.127,101.051,1.962,5.638,4.794,31.665
20,8/25/2023 10:24:53 AM,-9999.000,119.862,63.170,101.412,2.022,5.623,4.823,31.533
21,8/25/2023 10:24:54 AM,-9999.000,119.979,63.099,101.815,1.962,5.653,4.794,31.577
22,8/25/2023 10:24:55 AM,-9999.000,119.972,63.121,102.213,1.887,5.698,4.794,31.489
23,8/25/2023 10:24:56 AM,-9999.000,119.958,63.164,102.300,1.962,5.668,4.764,31.562
24,8/25/2023 10:24:57 AM,-9999.000,119.870,63.093,102.545,2.036,5.623,4.779,31.474
25,8/25/2023 10:24:58 AM,-9999.000,120.045,63.107,102.920,1.947,5.668,4.823,31.504
26,8/25/2023 10:24:59 AM,-9999.000,120.039,63.101,102.856,1.887,5.683,4.689,31.518
27,8/25/2023 10:25:00 AM,-9999.000,120.135,63.095,102.735,1.962,5.653,4.644,31.416
28,8/25/2023 10:25:01 AM,-9999.000,120.237,63.066,102.619,1.977,5.593,4.704,31.474
29,8/25/2023 10:25:02 AM,-9999.000,120.316,63.086,102.063,1.962,5.638,4.823,31.474
30,8/25/2023 10:25:03 AM,-9999.000,119.902,63.052,101.955,2.007,5.593,4.823,31.416
31,8/25/2023 10:25:04 AM,-9999.000,119.698,63.095,101.465,1.977,5.668,4.823,31.474
32,8/25/2023 10:25:05 AM,-9999.000,119.471,62.986,101.140,2.007,5.608,4.838,31.445
33,8/25/2023 10:25:06 AM,-9999.000,119.311,63.072,100.563,1.932,5.713,4.719,31.386
34,8/25/2023 10:25:07 AM,-9999.000,118.917,62.986,99.425,2.036,5.653,4.659,31.430
35,8/25/2023 10:25:08 AM,-9999.000,118.801,63.029,99.583,2.022,5.578,4.689,31.401
36,8/25/2023 10:25:09 AM,-9999.000,118.880,63.078,99.488,1.902,5.698,4.734,31.386
37,8/25/2023 10:25:10 AM,-9999.000,118.857,63.113,97.435,2.022,5.608,4.764,31.445
38,8/25/2023 10:25:11 AM,-9999.000,118.741,63.041,97.594,1.992,5.533,4.719,31.372
39,8/25/2023 10:25:12 AM,-9999.000,118.522,63.027,96.227,1.992,5.668,4.689,31.328
40,8/25/2023 10:25:13 AM,-9999.000,118.703,63.033,95.312,2.081,5.638,4.764,31.386
41,8/25/2023 10:25:14 AM,-9999.000,118.863,63.033,95.816,1.917,5.638,4.674,31.342
42,8/25/2023 10:25:15 AM,-9999.000,118.907,63.105,93.832,2.007,5.563,4.764,31.342
43,8/25/2023 10:25:16 AM,-9999.000,118.834,62.976,92.869,1.947,5.518,4.883,31.298
44,8/25/2023 10:25:17 AM,-9999.000,118.383,63.033,91.677,1.932,5.593,4.734,31.328
45,8/25/2023 10:25:18 AM,-9999.000,118.375,63.068,91.166,1.827,5.623,4.853,31.269
