Time,Head Temperature Set-Point (C),Head Control Temperature (C),Head Limit Temperature (C),Coolant Inlet Temperature (C),Coolant Outlet Temperature (C),Back End Temperature (C),Ambient Temperature (C),PCB Temperature (C),Coolant Flow Rate (L/min),x-Axis Vibration Magnitude (g),y-Axis Vibration Magnitude (g),z-Axis Vibration Magnitude (g),Power (W),Voltage (V),Current (A),Frequency (Hz),Phase Angle (),Energy Generated (kWh),Engine Running,Engine Demand,Heat Source Enabled,Heat Source Running,Automatic Reset Flag,User Reset Flag,Service Reset Flag,Integrity Check Signal,Control State,Active Error Code,Automatic Reset Time (s),Fan Set-Point (rpm),Fan Speed (rpm),Fan Drive (%),ECU Software ID,VI Protection Software ID,Device Operating Time (h),Engine Running Time (h),Engine Starts,Engine Stops,Average Site Voltage (V),Average Running Voltage (V),External Modulation Signal (%),Heat Input Rate (s),Checksum Fail Count,Packet Count,Comments
2023-09-27T14:13:51,285.8,32.2,33.5,34.1,33.8,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,6,610,30.0,0,0,0,1.0.561,1.0.2905,0.0,0.0,0,0,245.53,240.12,24.7,0.0,0,11,
2023-09-27T14:13:52,295.9,33.4,32.8,34.2,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,6,610,30.0,0,0,0,1.0.561,1.0.2905,0.0,0.0,0,0,245.53,240.12,24.7,0.0,0,12,
2023-09-27T14:13:54,295.9,33.4,32.8,34.2,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,6,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,14,
2023-09-27T14:13:55,295.9,33.2,32.5,34.2,33.8,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,6,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,16,
2023-09-27T14:13:56,295.9,31.9,33.0,34.1,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,6,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,18,
2023-09-27T14:13:57,295.9,31.9,33.0,34.1,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.3,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,6,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,20,
2023-09-27T14:13:58,306.9,32.0,32.8,34.2,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.3,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,6,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,21,
2023-09-27T14:13:59,306.9,32.0,32.8,34.2,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.9,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,23,
2023-09-27T14:14:00,306.9,32.0,33.1,34.2,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,243.4,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,25,
2023-09-27T14:14:01,318.8,32.0,33.4,34.2,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,243.4,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,27,
2023-09-27T14:14:02,318.8,32.0,33.4,34.2,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,29,
2023-09-27T14:14:03,318.8,32.9,33.6,34.1,33.8,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,30,
2023-09-27T14:14:04,318.8,32.9,33.6,34.1,33.8,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.0,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,32,
2023-09-27T14:14:05,318.8,33.2,32.5,34.1,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,34,
2023-09-27T14:14:06,318.8,32.1,32.8,34.2,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.01,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,36,
2023-09-27T14:14:08,318.8,32.1,32.8,34.2,33.8,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.8,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,38,
2023-09-27T14:14:09,331.6,32.0,33.5,34.2,33.8,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.8,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,39,
2023-09-27T14:14:10,331.6,32.0,33.5,34.2,33.8,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.2,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,41,
2023-09-27T14:14:11,331.6,31.9,33.5,34.2,33.8,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.2,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,43,
2023-09-27T14:14:12,345.4,33.4,32.5,34.2,33.8,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.2,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,30.0,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,45,
2023-09-27T14:14:13,345.4,33.4,32.5,34.2,33.8,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,47,
2023-09-27T14:14:14,345.4,32.1,33.6,34.2,33.9,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,242.7,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,48,
2023-09-27T14:14:15,345.4,32.1,33.6,34.2,33.9,24.0,31.0,32.2,0.0,0.0,0.0,0.0,0,243.3,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,50,
2023-09-27T14:14:16,345.4,33.0,33.8,34.2,33.9,24.0,31.1,32.2,0.0,0.0,0.0,0.0,0,242.4,0.0,60.02,0.0,0.28,0,0,0,0,1,0,0,0,0,610,29.9,0,0,0,1.0.561,1.0.2905,4044.3,36.2,196,0,245.53,240.12,24.7,0.0,0,52,
