Time,TC37 (°C),TC41 (°C),TC36 (°C),TC39 (°C),TC21 (°C),TC30 (°C),TC28 (°C),TC23 (°C)
2023-08-25 10:24:33,-9999.0,120.21,63.312,90.864,2.022,5.772,4.779,31.841
2023-08-25 10:24:34,-9999.0,120.122,63.312,91.654,2.111,5.802,4.779,31.856
2023-08-25 10:24:35,-9999.0,119.621,63.248,92.84,2.007,5.742,4.808,31.797
2023-08-25 10:24:36,-9999.0,119.431,63.22,94.234,2.156,5.742,4.898,31.797
2023-08-25 10:24:37,-9999.0,119.257,63.22,94.277,2.111,5.713,4.898,31.841
2023-08-25 10:24:38,-9999.0,119.148,63.242,94.07,2.022,5.727,4.749,31.724
2023-08-25 10:24:39,-9999.0,119.244,63.265,93.216,2.051,5.713,4.823,31.738
2023-08-25 10:24:40,-9999.0,119.515,63.23,92.247,2.022,5.683,4.734,31.636
2023-08-25 10:24:41,-9999.0,119.456,63.259,93.095,2.111,5.668,4.808,31.724
2023-08-25 10:24:42,-9999.0,119.363,63.195,93.318,2.007,5.668,4.764,31.68
2023-08-25 10:24:43,-9999.0,119.488,63.175,94.706,2.111,5.578,4.749,31.724
2023-08-25 10:24:44,-9999.0,119.531,63.175,95.612,2.066,5.683,4.779,31.606
2023-08-25 10:24:45,-9999.0,119.691,63.132,96.878,2.051,5.623,4.838,31.68
2023-08-25 10:24:46,-9999.0,119.714,63.168,98.081,2.036,5.653,4.838,31.709
2023-08-25 10:24:47,-9999.0,119.592,63.205,98.867,1.977,5.638,4.734,31.694
2023-08-25 10:24:48,-9999.0,119.606,63.162,99.746,1.932,5.757,4.734,31.665
2023-08-25 10:24:49,-9999.0,119.519,63.162,99.991,1.977,5.757,4.823,31.621
2023-08-25 10:24:50,-9999.0,119.635,63.22,100.437,2.007,5.653,4.794,31.577
2023-08-25 10:24:51,-9999.0,119.548,63.105,100.74,1.932,5.608,4.779,31.636
2023-08-25 10:24:52,-9999.0,119.76,63.127,101.051,1.962,5.638,4.794,31.665
2023-08-25 10:24:53,-9999.0,119.862,63.17,101.412,2.022,5.623,4.823,31.533
2023-08-25 10:24:54,-9999.0,119.979,63.099,101.815,1.962,5.653,4.794,31.577
2023-08-25 10:24:55,-9999.0,119.972,63.121,102.213,1.887,5.698,4.794,31.489
2023-08-25 10:24:56,-9999.0,119.958,63.164,102.3,1.962,5.668,4.764,31.562
2023-08-25 10:24:57,-9999.0,119.87,63.093,102.545,2.036,5.623,4.779,31.474
2023-08-25 10:24:58,-9999.0,120.045,63.107,102.92,1.947,5.668,4.823,31.504
2023-08-25 10:24:59,-9999.0,120.039,63.101,102.856,1.887,5.683,4.689,31.518
2023-08-25 10:25:00,-9999.0,120.135,63.095,102.735,1.962,5.653,4.644,31.416
2023-08-25 10:25:01,-9999.0,120.237,63.066,102.619,1.977,5.593,4.704,31.474
2023-08-25 10:25:02,-9999.0,120.316,63.086,102.063,1.962,5.638,4.823,31.474
2023-08-25 10:25:03,-9999.0,119.902,63.052,101.955,2.007,5.593,4.823,31.416
2023-08-25 10:25:04,-9999.0,119.698,63.095,101.465,1.977,5.668,4.823,31.474
2023-08-25 10:25:05,-9999.0,119.471,62.986,101.14,2.007,5.608,4.838,31.445
2023-08-25 10:25:06,-9999.0,119.311,63.072,100.563,1.932,5.713,4.719,31.386
2023-08-25 10:25:07,-9999.0,118.917,62.986,99.425,2.036,5.653,4.659,31.43
2023-08-25 10:25:08,-9999.0,118.801,63.029,99.583,2.022,5.578,4.689,31.401
2023-08-25 10:25:09,-9999.0,118.88,63.078,99.488,1.902,5.698,4.734,31.386
2023-08-25 10:25:10,-9999.0,118.857,63.113,97.435,2.022,5.608,4.764,31.445
2023-08-25 10:25:11,-9999.0,118.741,63.041,97.594,1.992,5.533,4.719,31.372
2023-08-25 10:25:12,-9999.0,118.522,63.027,96.227,1.992,5.668,4.689,31.328
