Time,current_elevation_angle,current_azimuth_angle,sun_elevation_angle,sun_azimuth_angle
2023-06-15 07:37:37, 13.330, 70.270, -999.000, -999.000
2023-06-15 07:37:39, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:41, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:42, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:44, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:45, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:46, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:48, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:49, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:51, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:52, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:53, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:55, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:56, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:58, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:37:59, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:00, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:02, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:03, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:06, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:07, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:08, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:10, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:11, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:13, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:14, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:15, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:17, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:18, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:21, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:22, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:24, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:25, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:29, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:31, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:32, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:37, 13.358, 70.270, 13.450, 70.320
2023-06-15 07:38:40, 13.358, 70.288, 13.660, 70.410
2023-06-15 07:38:41, 13.358, 70.288, 13.660, 70.410
2023-06-15 07:38:43, 13.358, 70.290, 13.660, 70.410
2023-06-15 07:38:44, 13.446, 70.310, 13.660, 70.410
2023-06-15 07:38:45, 13.572, 70.310, 13.660, 70.410
2023-06-15 07:38:47, 13.572, 70.310, 13.660, 70.410
2023-06-15 07:38:48, 13.572, 70.310, 13.660, 70.410
2023-06-15 07:38:50, 13.572, 70.310, 13.660, 70.410
2023-06-15 07:38:51, 13.572, 70.310, 13.660, 70.410
2023-06-15 07:38:52, 13.572, 70.310, 13.660, 70.410
