Time,Barometric pressure (Absolute),Barometric Pressure (Relative),Indoor temperature,Indoor humidity,Outdoor temperature,Outdoor humidity,Dew Point,Heat Index,Wind Chill,Feels Like,Wind Direction,Wind speed,10 min AVG,Wind gust,Rain rate,Hourly rainfall,Daily rainfall,UV index,Light intensity,CH1 temperature,CH1 humidity,CH1 Dew Point,CH1 Heat Index,CH2 temperature,CH2 humidity,CH2 Dew Point,CH2 Heat Index,CH3 temperature,CH3 humidity,CH3 Dew Point,CH3 Heat Index,CH4 temperature,CH4 humidity,CH4 Dew Point,CH4 Heat Index,CH5 temperature,CH5 humidity,CH5 Dew Point,CH5 Heat Index,CH6 temperature,CH6 humidity,CH6 Dew Point,CH6 Heat Index,CH7 temperature,CH7 humidity,CH7 Dew Point,CH7 Heat Index,Last strike,Lightning distance,Lightning hourly count,Lightning total in 5 minutes,Lightning total in 30 minutes,Lightning total in 1 hour,Lightning total in 1 day,Water Leakage CH1,Water Leakage CH2,Water Leakage CH3,Water Leakage CH4,Water Leakage CH5,Water Leakage CH6,Water Leakage CH7,CO CH1,CO Sensor battery CH1,PM2.5 CH1,PM10 CH1,PM sensor CH1 battery,PM sensor CH1 connect,PM 2.5 CH1 AQI,PM 10 CH1 AQI,PM2.5 CH2,PM10 CH2,PM sensor CH2 battery,PM sensor CH2 connect,PM 2.5 CH2 AQI,PM 10 CH2 AQI,PM2.5 CH3,PM10 CH3,PM sensor CH3 battery,PM sensor CH3 connect,PM 2.5 CH3 AQI,PM 10 CH3 AQI,PM2.5 CH4,PM10 CH4,PM sensor CH4 battery,PM sensor CH4 connect,PM 2.5 CH4 AQI,PM 10 CH4 AQI,HCHO,HCHO+VOC Sensor battery,CO₂,CO₂ Sensor Battery
2023-10-03 13:40:00,1015,1010,83.7,39,86.4,62,71.8,92.6,86.4,92.6,150,3.6,3.6,3.8,0.0,0.0,0.0,8,813.47,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2023-10-03 13:45:00,1016,1010,83.3,38,86.4,63,72.3,93.0,86.4,93.0,96,3.6,3.6,3.8,0.0,0.0,0.0,8,809.29,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2023-10-03 13:50:00,1015,1010,82.4,39,86.0,63,71.9,92.2,86.0,92.2,156,4.3,4.3,4.5,0.0,0.0,0.0,7,746.16,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2023-10-03 13:55:00,1015,1009,82.0,38,86.2,65,73.0,93.4,86.2,93.4,132,2.2,2.2,2.2,0.0,0.0,0.0,5,798.54,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2023-10-03 14:00:00,1015,1009,81.3,38,86.0,64,72.4,92.6,86.0,92.6,150,2.9,2.9,2.9,0.0,0.0,0.0,5,794.91,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2023-10-03 14:05:00,1015,1009,81.1,38,86.7,61,71.7,92.9,86.7,92.9,132,2.0,2.0,2.0,0.0,0.0,0.0,7,790.88,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2023-10-03 14:10:00,1015,1009,81.3,38,87.1,59,71.0,92.8,87.1,92.8,138,3.1,3.1,3.1,0.0,0.0,0.0,7,772.31,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2023-10-03 14:15:00,1015,1009,81.0,37,86.2,61,71.2,91.8,86.2,91.8,132,5.1,5.1,5.8,0.0,0.0,0.0,6,760.38,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2023-10-03 14:20:00,1015,1009,80.6,37,86.2,62,71.6,92.2,86.2,92.2,138,2.5,2.5,2.5,0.0,0.0,0.0,5,781.32,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2023-10-03 14:25:00,1015,1009,80.2,37,86.0,62,71.5,91.8,86.0,91.8,132,4.5,4.5,4.9,0.0,0.0,0.0,6,766.94,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,32.0,0,32.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
